#{"t_start": 1781566582.5097396, "env_id": "None"}
r,l,t
-75.062185,80,351.161819
-96.409841,103,351.570938
-62.980601,109,351.990448
-69.487887,111,352.410661
-112.102558,109,352.82664
-184.307364,136,353.351784
-30.650677,99,353.746382
-61.191668,108,354.91254
-81.484061,90,355.318834
-49.967325,107,355.749743
-5.953815,113,356.166623
-62.105698,101,356.554362
-66.0027,90,356.900568
-40.806253,86,357.25583
-30.635017,104,357.647482
-86.933254,96,358.014642
-25.904339,107,358.419506
-79.114539,85,358.772333
-49.514125,91,359.130317
-85.888053,112,359.549615
-40.730685,102,359.927186
-54.558764,98,360.321407
-44.007486,87,360.651395
-40.335752,86,360.983624
-38.671611,99,361.347748
-85.152762,130,361.861282
-55.214684,111,362.281585
-53.805738,86,363.390387
-67.285157,123,366.649397
-69.143143,99,367.048575
-73.529033,116,367.481674
-77.048089,113,367.90909
-47.307526,96,368.279085
-71.051395,97,368.666063
-107.276918,78,368.966505
-78.327361,124,369.418296
-51.597785,86,369.751035
-114.251662,99,370.149596
-57.162721,99,370.524366
-71.838604,91,370.879567
-20.4094,97,371.252143
-50.18038,103,371.648081
-13.347215,92,372.030011
-40.141129,99,372.407773
-130.504372,117,372.852399
-34.424033,94,373.211653
-64.659484,99,373.619674
-141.926772,105,374.785787
-56.721941,93,375.216136
-64.71785,110,375.63693
-75.890526,84,375.975138
-45.837593,99,376.357681
-68.909023,86,376.699428
-68.920799,80,377.013254
-49.856906,93,377.367981
-40.238248,92,377.717118
-91.060136,79,378.024543
-82.168034,74,378.319528
-71.789768,77,378.618604
-128.809379,87,378.963511
-51.342199,83,379.284783
-95.827426,82,379.640824
-60.451317,90,379.978593
-87.542459,99,380.358396
-44.321032,81,380.672225
-77.030256,82,380.988664
-77.964559,99,381.374456
-38.042748,119,381.813549
-104.335163,106,382.214635
-38.257778,103,382.626121
-80.034244,105,383.835779
-37.544832,101,384.271698
-41.063413,89,384.614863
-106.857398,104,385.020399
-46.84274,101,385.393956
-66.690781,90,385.764679
-86.975946,76,386.066424
-93.991255,95,386.426151
-37.237662,99,386.812095
-56.636176,85,387.141366
-56.501954,110,387.580353
-118.061298,97,387.950497
-88.879496,90,388.297347
-44.470257,87,388.633328
-81.602493,85,388.980245
-49.062738,106,389.384511
-49.879734,102,389.77528
-83.316332,97,390.151985
-82.196588,104,390.561703
-102.556707,74,390.865541
-56.940057,99,391.234913
-35.482482,84,391.563534
-51.560374,80,392.665979
-56.678642,81,393.028523
-94.657213,114,393.488668
-45.150182,112,393.912752
-46.648651,116,394.354589
-63.477508,91,394.723283
-113.716271,94,395.081359
-91.656932,104,395.484921
-54.916842,84,395.812085
-40.422639,92,396.167489
-96.604415,107,396.5986
-71.854454,77,396.904807
-90.122144,134,397.401278
-72.592465,80,397.714895
-64.403223,107,398.145691
-141.638147,84,398.475431
-103.517848,96,398.847217
-57.539988,97,399.235504
-55.146615,96,399.636437
-77.698522,77,399.949428
-72.0394,89,400.299736
-95.290965,88,401.417613
-39.587301,81,401.789424
-56.651627,90,402.152946
-65.763834,98,402.522301
-22.121886,86,402.87074
-38.826171,80,403.191851
-72.181252,98,403.586457
-61.916778,108,403.994684
-14.800754,98,404.372485
-34.213801,98,404.744741
-26.341972,99,405.150165
-78.731624,106,405.545858
-54.341887,80,405.87014
-30.953141,100,406.254232
-85.65204,92,406.636518
-108.960135,115,407.065516
-53.921595,80,407.378698
-89.060761,84,407.714958
-28.362492,108,408.146415
-61.831973,83,408.476928
-64.675835,107,412.113699
-24.311226,99,412.487407
-84.496702,111,413.706331
-57.266119,98,414.120922
-68.188485,102,414.510274
-79.963017,99,414.890288
-87.944866,115,415.324831
-14.094044,108,415.765589
-35.997941,105,416.167418
-123.020504,108,416.579214
-118.573763,99,416.948822
-33.773571,90,417.316495
-13.276896,91,417.668663
-19.874357,95,418.032691
-70.871276,115,418.470653
-31.462808,107,418.901384
-60.928676,96,419.268677
-36.322488,96,419.628788
-83.752681,97,420.002995
-149.225588,109,420.445747
-44.225298,115,420.878646
-153.571816,119,422.146226
-55.752927,121,422.664932
-43.190222,87,423.007638
-54.257753,114,423.429202
-79.482505,93,423.785675
-33.363258,120,424.227257
-36.687672,94,424.582443
-52.529723,109,424.985632
-145.688467,112,425.398269
-82.304327,115,425.834892
-39.827976,97,426.206093
-70.700902,114,426.631473
-35.255715,111,427.073133
-55.959863,112,427.491323
-83.442407,102,427.875618
-77.153684,102,428.260345
-78.807931,107,428.701725
-110.521928,118,429.142892
-76.335069,80,429.451165
-11.584898,100,429.829603
-52.628289,100,430.94693
-53.300793,116,431.434436
-74.662435,122,431.900356
-56.86917,116,432.333766
-55.826636,90,432.67167
-84.963746,96,433.066673
-38.266078,104,433.460763
-60.287724,124,433.922462
-60.968114,77,434.221301
-75.329619,96,434.57799
-64.65834,117,435.046126
-48.442691,127,435.515037
-58.825951,88,435.855258
-77.206763,102,436.253928
-78.222301,101,436.646321
-115.017976,94,437.008316
-48.136214,121,437.468246
-77.951729,84,437.828505
-71.237733,73,438.119143
-29.390978,104,438.509217
-46.893563,123,439.798455
-20.942314,108,440.238427
-47.741637,104,440.649099
-71.152266,93,441.00084
-39.434204,115,441.435033
-83.520495,121,441.921192
-61.138216,95,442.280768
-41.298724,127,442.744322
-53.416859,121,443.199154
-110.49569,139,443.733951
-46.832824,105,444.133509
-58.574334,97,444.505482
-96.342504,140,445.0402
-47.465657,89,445.383172
-22.645634,125,445.844574
-43.027488,88,446.179537
-42.893318,109,446.616049
-34.220716,127,447.099949
-35.356574,117,448.318729
-67.254544,106,448.776826
-16.568346,116,449.211877
-66.301025,99,449.58051
-90.985391,106,449.988313
-94.270122,116,450.452078
-44.846309,100,450.830062
-51.272238,97,451.187654
-54.977349,82,451.504848
-68.006569,104,451.912743
-22.214599,112,452.348738
-29.741705,93,452.706496
-57.734773,87,453.041167
-30.62578,106,453.465109
-58.811333,81,453.782264
-84.853571,101,454.157815
-82.30386,96,454.516294
-89.010835,117,458.80565
-8.039792,111,459.218253
-67.009588,131,459.739434
-72.859766,97,460.860308
-66.102156,105,461.316984
-52.621579,129,461.79494
-39.952504,120,462.245809
-49.627171,80,462.563165
-58.279319,114,463.020672
-57.808046,109,463.429205
-30.936263,112,463.851386
-29.978715,87,464.186555
-37.72763,107,464.615532
-86.005814,123,465.079336
-40.538575,113,465.50462
-86.585938,135,466.02188
-50.692651,92,466.382272
-182.572905,91,466.730421
-48.661129,87,467.066079
-54.690614,92,467.418381
-36.928276,97,467.819323
-28.282911,113,468.240711
-73.147274,108,469.419218
-32.376635,105,469.893384
-50.838085,116,470.353064
-34.707099,120,470.801437
-22.962393,89,471.153008
-97.041451,112,471.580388
-53.30602,89,471.926383
-35.390934,123,472.374927
-55.988904,115,472.837045
-19.280442,113,473.253678
-24.415543,100,473.637691
-53.46494,84,473.965914
-65.713784,140,474.496003
-44.672002,77,474.791851
-43.151385,97,475.157311
-52.079946,115,475.594082
-78.172791,127,476.084945
-35.493421,114,476.515826
-56.154721,100,476.905822
-74.561858,123,478.22648
-56.625683,104,478.6487
-50.069907,105,479.04394
-13.609116,122,479.495417
-38.909902,99,479.879768
-55.999492,124,480.370901
-10.319226,106,480.786647
-72.4728,118,481.224792
-32.423669,88,481.563943
-43.639172,114,482.018055
-10.098779,122,482.474186
-22.47478,101,482.865665
-35.472384,126,483.341654
-31.158512,112,483.77497
-36.342839,114,484.196875
-32.037864,109,484.629918
-74.596296,120,485.0772
-101.174541,132,485.567818
-54.457788,109,486.838759
-33.695263,120,487.326839
-106.969686,136,487.825762
